,team1_home,team1_bat,csk,dch,dca,dd,gl,kxip,kt,kkr,mi,pw,rr,rps,rcb,srh,team1_win_percentage,team2_win_percentage,team1_win
138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7772164561609503,0.6292333273695964,0
139,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.6219125841667853,0.7830866731435233,0
140,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8830379312118819,0.46930162160495426,1
141,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.8253993108055349,0.5645493580916978,0
142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.821406952996121,0.5703425440642038,0
143,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.841995503991129,0.5394845421870071,1
144,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.8091371159756836,0.5876198835561582,1
145,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.8692532873156632,0.494366991708501,0
146,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5136116795579884,0.8580227518088446,1
147,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7660173382071775,0.6428199106794924,0
148,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8425938412032223,0.5385495508923938,1
149,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8629594860892883,0.5052731195784231,0
150,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6355514562698892,0.7720585123118734,0
151,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7083168378009853,0.7058946502755301,0
152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.821406952996121,0.5703425440642038,1
153,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.8692532873156632,0.494366991708501,0
154,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.6219125841667853,0.7830866731435233,1
155,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.829063063955475,0.5591551090571916,0
156,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6695472013857222,0.7427695100881209,0
157,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7480945383175492,0.6635921652185571,1
158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8459953170187582,0.5331903258521585,0
159,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7075635191948175,0.7066497479689956,1
160,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.7488993139903786,0.6626837990359657,0
161,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7191229524372542,0.6948828529168973,0
162,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.8247552919180603,0.5654897951803862,0
163,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.7775701711763117,0.6287961743656217,1
164,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.7369584329984259,0.675938065234164,1
165,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8472367120571759,0.5312155435814601,0
166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7534911922561801,0.6574580010862748,0
167,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8144535194083273,0.5802288037691593,0
168,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8425938412032223,0.5385495508923938,1
169,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8629594860892883,0.5052731195784231,0
170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.7764633208795279,0.6301624483644956,0
